Store 01;Customer 144;80759;Books;29/11/2006 06:48;9;80,5;1
Store 04;Customer 1716;56810;Clothing;14/01/2007 21:15;5;42,3;2
Store 04;Customer 129;60636;Movies;17/12/2005 13:26;5;92,9;3
Store 10;Customer 802;82105;Home/Garden;06/03/2007 19:57;4;70,6;4
Store 14;Customer 1;52349;Clothing;09/12/2005 21:52;8;76,6;5
Store 07;Customer 1190;43024;Movies;31/05/2005 11:18;7;90,2;6
Store 14;Customer 1268;82054;Movies;08/02/2006 20:58;1;26,1;7
Store 10;Customer 1433;57181;Electronics;19/06/2007 18:06;9;66,4;8
Store 05;Customer 103;15211;Health;11/02/2005 18:14;9;83,5;9
Store 01;Customer 1871;72478;Electronics;24/06/2006 10:10;6;77,4;10
Store 07;Customer 1193;50965;Movies;14/09/2006 02:40;2;69,8;11
Store 07;Customer 292;97284;Movies;01/07/2008 16:59;7;42,7;12
Store 14;Customer 751;30215;Home/Garden;04/09/2005 15:43;6;39,3;13
Store 13;Customer 1736;96441;Sports;27/11/2006 21:44;9;89,8;14
Store 13;Customer 1740;51946;Sports;16/02/2005 10:18;4;41,2;15
Store 14;Customer 307;96842;Clothing;18/01/2008 16:03;3;14,9;16
Store 09;Customer 30;89799;Clothing;21/03/2007 13:17;1;81,2;17
Store 15;Customer 1837;84656;Movies;04/11/2005 06:00;8;76,3;18
Store 02;Customer 1641;62589;Toys;11/09/2006 22:59;4;12,7;19
Store 03;Customer 191;18438;Electronics;16/09/2008 22:40;9;14,2;20
Store 13;Customer 1289;53573;Sports;07/11/2008 03:51;8;17,1;21
Store 10;Customer 1575;50955;Home/Garden;13/01/2008 05:38;9;27;22
Store 09;Customer 483;92160;Home/Garden;14/08/2007 19:50;5;63,3;23
Store 10;Customer 1008;67318;Sports;18/11/2007 00:31;7;20,4;24
Store 09;Customer 496;79313;Health;14/07/2008 17:04;3;39,7;25
Store 10;Customer 1670;62045;Toys;30/07/2007 17:28;4;95,8;26
Store 12;Customer 37;55150;Clothing;12/02/2007 00:19;6;26,4;27
Store 05;Customer 1068;63242;Sports;08/08/2006 11:37;1;15;28
Store 07;Customer 1510;36405;Clothing;21/12/2007 22:44;5;27,6;29
Store 01;Customer 936;53638;Toys;20/07/2007 04:35;3;54,1;30
Store 01;Customer 709;10305;Movies;16/07/2005 10:30;9;91,8;31
Store 01;Customer 908;37291;Movies;05/03/2007 20:13;1;24,9;32
Store 02;Customer 734;81987;Clothing;12/05/2006 20:33;6;32,2;33
Store 14;Customer 678;85001;Toys;10/07/2007 22:24;6;18,9;34
Store 04;Customer 815;86786;Electronics;11/04/2006 05:42;5;28,2;35
Store 14;Customer 315;57431;Home/Garden;11/10/2006 18:39;5;36,5;36
Store 07;Customer 1189;41178;Movies;30/03/2008 07:22;8;91,9;37
Store 02;Customer 924;86086;Movies;26/09/2007 15:57;4;91,8;38
Store 01;Customer 437;98042;Books;12/12/2005 02:48;1;98,2;39
Store 03;Customer 1287;66299;Toys;29/06/2006 18:07;3;54,3;40
Store 11;Customer 1495;61192;Books;05/11/2007 19:59;2;58,7;41
Store 13;Customer 1865;99701;Electronics;13/06/2005 11:21;2;26,7;42
Store 14;Customer 113;81367;Toys;04/09/2007 20:29;3;19,6;43
Store 13;Customer 170;72525;Home/Garden;20/08/2008 05:28;7;73,5;44
Store 10;Customer 1537;66953;Health;28/08/2006 14:28;5;46,8;45
Store 02;Customer 1260;26112;Books;08/01/2006 02:55;9;28,9;46
Store 08;Customer 179;60251;Sports;30/07/2007 02:07;5;77,4;47
Store 13;Customer 1410;12037;Clothing;07/06/2007 13:53;1;30,9;48
Store 14;Customer 1282;93213;Clothing;26/05/2007 05:04;3;89,1;49
Store 04;Customer 1182;22667;Toys;01/02/2006 08:27;6;54,4;50
Store 07;Customer 716;94222;Health;25/05/2006 05:48;2;34,5;51
Store 11;Customer 251;31271;Clothing;26/10/2005 16:37;9;74,3;52
Store 08;Customer 1406;40679;Books;06/10/2008 12:08;1;67,9;53
Store 08;Customer 270;10897;Electronics;27/03/2005 16:39;4;24,6;54
Store 13;Customer 535;57091;Health;02/08/2007 14:44;3;41,8;55
Store 12;Customer 957;17071;Home/Garden;09/12/2007 06:14;9;69,6;56
Store 07;Customer 1425;34960;Clothing;25/05/2006 12:11;3;76,9;57
Store 06;Customer 1430;41630;Electronics;22/11/2005 21:59;5;43,4;58
Store 15;Customer 529;10455;Electronics;07/10/2006 22:47;1;38,7;59
Store 01;Customer 1025;61704;Clothing;29/10/2007 03:12;7;81,5;60
Store 13;Customer 1035;50395;Electronics;19/09/2008 17:16;4;44,5;61
Store 11;Customer 253;44324;Clothing;25/09/2006 10:58;2;68,2;62
Store 03;Customer 1349;40501;Movies;30/11/2006 03:52;6;12,7;63
Store 13;Customer 1967;26298;Home/Garden;08/10/2007 21:13;5;78,6;64
Store 11;Customer 1213;36468;Electronics;26/11/2006 06:10;9;54,3;65
Store 11;Customer 1110;61388;Health;15/07/2005 20:22;1;42,1;66
Store 12;Customer 838;58598;Clothing;21/06/2008 20:20;8;51,9;67
Store 05;Customer 83;67392;Movies;01/07/2005 03:01;7;13,3;68
Store 03;Customer 1920;45409;Home/Garden;19/02/2005 21:12;1;99,6;69
Store 10;Customer 69;66394;Books;23/06/2008 07:39;8;46,3;70
Store 05;Customer 888;26261;Electronics;18/02/2008 00:42;4;82;71
Store 04;Customer 1101;62307;Electronics;30/07/2005 11:06;9;41;72
